Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2013-14,NBA,Cleveland Cavaliers,33,49,0.402,3,-3.86,93.1,-0.8,104.2,-2.5,107.7,1,,M. Brown (33-49),K. Irving (6.7)
2012-13,NBA,Cleveland Cavaliers,24,58,0.293,5,-4.87,92.3,0.3,104.3,-1.6,109.4,3.5,,B. Scott (24-58),K. Irving (5.3)
2011-12,NBA,Cleveland Cavaliers,21,45,0.318,5,-7.34,91.3,0,101.1,-3.5,108.9,4.3,,B. Scott (21-45),K. Irving (4.1)
2010-11,NBA,Cleveland Cavaliers,19,63,0.232,5,-8.88,93,0.9,102.2,-5.1,111.8,4.5,,B. Scott (19-63),R. Sessions (4.4)
2009-10,NBA,Cleveland Cavaliers*,61,21,0.744,1,6.17,91.4,-1.3,111.2,3.6,104.1,-3.5,Lost E. Conf. Semis,M. Brown (61-21),L. James (18.5)
2008-09,NBA,Cleveland Cavaliers*,66,16,0.805,1,8.68,88.7,-3,112.4,4.1,102.4,-5.9,Lost E. Conf. Finals,M. Brown (66-16),
2017-18,NBA,Dallas Mavericks,24,58,0.293,4,-2.7,95.6,-1.7,106.3,-2.3,109.5,0.9,,R. Carlisle (24-58),D. Powell (6.6)
2016-17,NBA,Dallas Mavericks,33,49,0.402,5,-2.53,92.2,-4.2,105.6,-3.2,108.8,0,,R. Carlisle (33-49),S. Curry (4.6)
2015-16,NBA,Dallas Mavericks*,42,40,0.512,2,-0.02,94.3,-1.5,106.7,0.3,107,0.6,Lost W. Conf. 1st Rnd.,R. Carlisle (42-40),D. Nowitzki (6.8)
2014-15,NBA,Dallas Mavericks*,50,32,0.61,4,3.36,95.2,1.3,109.5,3.9,106.4,0.8,Lost W. Conf. 1st Rnd.,R. Carlisle (50-32),T. Chandler (10.3)
2013-14,NBA,Dallas Mavericks*,49,33,0.598,4,2.91,93.5,-0.4,111.2,4.5,108.7,2,Lost W. Conf. 1st Rnd.,R. Carlisle (49-33),D. Nowitzki (10.9)
2012-13,NBA,Dallas Mavericks,41,41,0.5,4,-0.24,94.1,2.1,105.9,0,106.5,0.6,,R. Carlisle (41-41),V. Carter (6.0)
2011-12,NBA,Dallas Mavericks*,36,30,0.545,3,1.78,91.4,0.1,103.3,-1.3,102.3,-2.3,Lost W. Conf. 1st Rnd.,R. Carlisle (36-30),D. Nowitzki (7.6)
2010-11,NBA,Dallas Mavericks*,57,25,0.695,2,4.41,91.3,-0.8,109.7,2.4,105,-2.3,Won Finals,R. Carlisle (57-25),D. Nowitzki (11.1)
2009-10,NBA,Dallas Mavericks*,55,27,0.671,1,2.66,92.5,-0.2,109.2,1.6,106.3,-1.3,Lost W. Conf. 1st Rnd.,R. Carlisle (55-27),D. Nowitzki (12.3)
2008-09,NBA,Dallas Mavericks*,50,32,0.61,3,1.68,91.5,-0.2,110.5,2.2,108.4,0.1,Lost W. Conf. Semis,R. Carlisle (50-32),D. Nowitzki (10.
2017-18,NBA,Denver Nuggets,46,36,0.561,5,1.57,96.8,-0.5,112.5,3.9,110.9,2.3,,M. Malone (46-36),N. Jokic (10.7)
2016-17,NBA,Denver Nuggets,40,42,0.488,4,0.7,98.3,1.9,113.2,4.4,112.7,3.9,,M. Malone (40-42),N. Jokic (9.7)
2015-16,NBA,Denver Nuggets,33,49,0.402,4,-2.81,95.7,-0.1,105.6,-0.8,108.9,2.5,,M. Malone (33-49),N. Jokic (6.7)
2014-15,NBA,Denver Nuggets,30,52,0.366,4,-3.07,96.1,2.2,104.5,-1.1,108.2,2.6,,"B. Shaw (20-39), M. Hunt (10-13)",T. Lawson (7.0)
2013-14,NBA,Denver Nuggets,36,46,0.439,4,-1.4,98.1,4.2,106,-0.7,108.2,1.5,,B. Shaw (36-46),K. Faried (6.5)
2012-13,NBA,Denver Nuggets*,57,25,0.695,2,5.37,95.1,3.1,110.4,4.5,105.1,-0.8,Lost W. Conf. 1st Rnd.,G. Karl (57-25),K. Faried (7.8)
2011-12,NBA,Denver Nuggets*,38,28,0.576,2,3.16,94.2,2.9,109.2,4.6,106.2,1.6,Lost W. Conf. 1st Rnd.,G. Karl (38-28),T. Lawson (6.9)
2010-11,NBA,Denver Nuggets*,50,32,0.61,2,4.81,95.6,3.5,112.3,5,107.3,0,Lost W. Conf. 1st Rnd.,G. Karl (50-32),N. Hilario (9.6)
2009-10,NBA,Denver Nuggets*,53,29,0.646,1,4.15,94.8,2.1,111.8,4.2,107.5,-0.1,Lost W. Conf. 1st Rnd.,G. Karl (53-29),N. Hilario (10.8)
2008-09,NBA,Denver Nuggets*,54,28,0.659,1,3.13,94.3,2.6,110.4,2.1,106.8,-1.5,Lost W. Conf. Finals,G. Karl (54-28),
2017-18,NBA,Golden State Warriors*,58,24,0.707,1,5.79,99.6,2.3,113.6,5,107.7,-0.9,Won W. Conf. 1st Rnd.,S. Kerr (58-24),K. Durant (10.4)
2016-17,NBA,Golden State Warriors*,67,15,0.817,1,11.35,99.8,3.4,115.6,6.8,104,-4.8,Won Finals,S. Kerr (67-15),S. Curry (12.6)
2015-16,NBA,Golden State Warriors*,73,9,0.89,1,10.38,99.3,3.5,114.5,8.1,103.8,-2.6,Lost Finals,S. Kerr (73-9),S. Curry (17.9)
2014-15,NBA,Golden State Warriors*,67,15,0.817,1,10.01,98.3,4.4,111.6,6,101.4,-4.2,Won Finals,S. Kerr (67-15),S. Curry (15.7)
2013-14,NBA,Golden State Warriors*,51,31,0.622,2,5.15,96.2,2.3,107.5,0.8,102.6,-4.1,Lost W. Conf. 1st Rnd.,M. Jackson (51-31),S. Curry (13.4)
2012-13,NBA,Golden State Warriors*,47,35,0.573,2,1.32,94.5,2.5,106.4,0.5,105.5,-0.4,Lost W. Conf. Semis,M. Jackson (47-35),S. Curry (11.2)
2011-12,NBA,Golden State Warriors,23,43,0.348,4,-2.79,92.3,1,105.4,0.8,109.1,4.5,,M. Jackson (23-43),D. Lee (5.0)
2010-11,NBA,Golden State Warriors,36,46,0.439,3,-2,94.8,2.7,108.2,0.9,110.7,3.4,,K. Smart (36-46),S. Curry (6.6)
2009-10,NBA,Golden State Warriors,26,56,0.317,4,-3.28,100.4,7.7,108.1,0.5,111.7,4.1,,D. Nelson (26-56),C. Maggette (6.3)
2008-09,NBA,Golden State Warriors,29,53,0.354,3,-3.8,98.2,6.5,109.5,1.2,113.3,5,,D. Nelson (29-53),A. Biedrins (5.
2017-18,NBA,Houston Rockets*,65,17,0.793,1,8.21,97.6,0.3,114.7,6.1,106.1,-2.5,Won W. Conf. 1st Rnd.,M. D'Antoni (65-17),J. Harden (15.4)
2016-17,NBA,Houston Rockets*,55,27,0.671,2,5.84,100,3.6,114.7,5.9,109,0.2,Lost W. Conf. Semis,M. D'Antoni (55-27),J. Harden (15.0)
2015-16,NBA,Houston Rockets*,41,41,0.5,4,0.34,97.6,1.8,108.3,1.9,108.1,1.7,Lost W. Conf. 1st Rnd.,"K. McHale (4-7), J. Bickerstaff (37-34)",J. Harden (13.3)
2014-15,NBA,Houston Rockets*,56,26,0.683,1,3.82,96.5,2.6,107,1.4,103.4,-2.2,Lost W. Conf. Finals,K. McHale (56-26),J. Harden (16.4)
2013-14,NBA,Houston Rockets*,54,28,0.659,2,5.06,96.3,2.4,111,4.3,106.3,-0.4,Lost W. Conf. 1st Rnd.,K. McHale (54-28),J. Harden (12.8)
2012-13,NBA,Houston Rockets*,45,37,0.549,3,3.69,96.1,4.1,109.7,3.8,106.1,0.2,Lost W. Conf. 1st Rnd.,K. McHale (45-37),J. Harden (12.8)
2011-12,NBA,Houston Rockets,34,32,0.515,4,0.57,91.7,0.4,105.5,0.9,105.2,0.6,,K. McHale (34-32),G. Dragic (5.1)
2010-11,NBA,Houston Rockets,43,39,0.524,5,2.37,94.2,2.1,111.3,4,109,1.7,,R. Adelman (43-39),K. Martin (9.5)
2009-10,NBA,Houston Rockets,42,40,0.512,3,-0.02,94,1.3,107.6,0,108,0.4,,R. Adelman (42-40),L. Scola (6.3)
2008-09,NBA,Houston Rockets*,53,29,0.646,2,3.73,90.2,-1.5,108.4,0.1,104,-4.3,Lost W. Conf. Semis,R. Adelman (53-29),Y. Ming (1
2017-18,NBA,Indiana Pacers*,48,34,0.585,2,1.18,96,-1.3,109.5,0.9,108.1,-0.5,Y,N. McMillan (48-34),V. Oladipo (8.3)
2016-17,NBA,Indiana Pacers*,42,40,0.512,3,-0.64,95.9,-0.5,108.6,-0.2,108.8,0,Lost E. Conf. 1st Rnd.,N. McMillan (42-40),J. Teague (8.1)
2015-16,NBA,Indiana Pacers*,45,37,0.549,2,1.62,96.6,0.8,104.6,-1.8,102.9,-3.5,Lost E. Conf. 1st Rnd.,F. Vogel (45-37),P. George (9.2)
2014-15,NBA,Indiana Pacers,38,44,0.463,4,-0.23,93.2,-0.7,103.5,-2.1,103.2,-2.4,,F. Vogel (38-44),G. Hill (5.4)
2013-14,NBA,Indiana Pacers*,56,26,0.683,1,3.63,92.5,-1.4,104.1,-2.6,99.3,-7.4,Lost E. Conf. Finals,F. Vogel (56-26),P. George (10.8)
2012-13,NBA,Indiana Pacers*,49,32,0.605,1,3.34,90.2,-1.8,104.3,-1.6,99.8,-6.1,Lost E. Conf. Finals,F. Vogel (49-32),G. Hill (9.7)
2011-12,NBA,Indiana Pacers*,42,24,0.636,2,2.6,90.7,-0.6,106.7,2.1,103.1,-1.5,Lost E. Conf. Semis,F. Vogel (42-24),D. Granger (6.7)
2010-11,NBA,Indiana Pacers*,37,45,0.451,2,-1.38,94.7,2.6,104.8,-2.5,106,-1.3,Lost E. Conf. 1st Rnd.,"J. O'Brien (17-27), F. Vogel (20-18)",D. Granger (6.9)
2009-10,NBA,Indiana Pacers,32,50,0.39,4,-3.11,97.1,4.4,103.7,-3.9,106.8,-0.8,,J. O'Brien (32-50),T. Murphy (7.8)
2008-09,NBA,Indiana Pacers,36,46,0.439,4,-0.76,96.5,4.8,108.1,-0.2,109.2,0.9,,J. O'Brien (36-46),T. Murphy (8.5)
2017-18,NBA,Los Angeles Clippers,42,40,0.512,2,0.15,98.7,1.4,110.3,1.7,110.2,1.6,,D. Rivers (42-40),D. Jordan (9.4)
2016-17,NBA,Los Angeles Clippers*,51,31,0.622,2,4.42,96.1,-0.3,112.7,3.9,108.2,-0.6,Lost W. Conf. 1st Rnd.,D. Rivers (51-31),D. Jordan (11.8)
2015-16,NBA,Los Angeles Clippers*,53,29,0.646,2,4.13,95.8,0,108.3,1.9,103.8,-2.6,Lost W. Conf. 1st Rnd.,D. Rivers (53-29),C. Paul (12.7)
2014-15,NBA,Los Angeles Clippers*,56,26,0.683,2,6.8,94.7,0.8,112.4,6.8,105.5,-0.1,Lost W. Conf. Semis,D. Rivers (56-26),C. Paul (16.1)
2013-14,NBA,Los Angeles Clippers*,57,25,0.695,1,7.27,95.9,2,112.1,5.4,104.8,-1.9,Lost W. Conf. Semis,D. Rivers (57-25),B. Griffin (12.2)
2012-13,NBA,Los Angeles Clippers*,56,26,0.683,1,6.43,91.1,-0.9,110.6,4.7,103.6,-2.3,Lost W. Conf. 1st Rnd.,V. Del Negro (56-26),C. Paul (13.9)
2011-12,NBA,Los Angeles Clippers*,40,26,0.606,2,2.82,89.2,-2.1,108.5,3.9,105.7,1.1,Lost W. Conf. Semis,V. Del Negro (40-26),C. Paul (12.7)
2010-11,NBA,Los Angeles Clippers,32,50,0.39,4,-2.71,92.8,0.7,105.3,-2,108.7,1.4,,V. Del Negro (32-50),B. Griffin (9.8)
2009-10,NBA,Los Angeles Clippers,29,53,0.354,3,-6.01,92.6,-0.1,103.3,-4.3,110.1,2.5,,"M. Dunleavy (21-28), K. Hughes (8-25)",M. Camby (4.6)
2008-09,NBA,Los Angeles Clippers,19,63,0.232,4,-8.47,92.1,0.4,102.3,-6,111.7,3.4,,M. Dunleavy (19-63),M. Camby (5.2)
2017-18,NBA,Los Angeles Lakers,35,47,0.427,3,-1.44,100.3,3,106.5,-2.1,108,-0.6,,L. Walton (35-47),J. Randle (6.6)
2016-17,NBA,Los Angeles Lakers,26,56,0.317,4,-6.29,98.5,2.1,106,-2.8,113,4.2,,L. Walton (26-56),L. Williams (4.9)
2015-16,NBA,Los Angeles Lakers,17,65,0.207,5,-8.92,95.6,-0.2,101.6,-4.8,111.6,5.2,,B. Scott (17-65),L. Williams (4.7)
2014-15,NBA,Los Angeles Lakers,21,61,0.256,5,-6.17,94,0.1,103.4,-2.2,110.6,5,,B. Scott (21-61),E. Davis (6.3)
2013-14,NBA,Los Angeles Lakers,27,55,0.329,5,-5.33,98.7,4.8,104.2,-2.5,110.6,3.9,,M. D'Antoni (27-55),J. Meeks (4.5)
2012-13,NBA,Los Angeles Lakers*,45,37,0.549,3,1.48,94.4,2.4,107.8,1.9,106.6,0.7,Lost W. Conf. 1st Rnd.,"M. Brown (1-4), B. Bickerstaff (4-1), M. D'Antoni (40-32)",K. Bryant (10.9)
2011-12,NBA,Los Angeles Lakers*,41,25,0.621,1,1.96,90.5,-0.8,106,1.4,104.4,-0.2,Lost W. Conf. Semis,M. Brown (41-25),P. Gasol (8.3)
2010-11,NBA,Los Angeles Lakers*,57,25,0.695,1,6.01,90.7,-1.4,111,3.7,104.3,-3,Lost W. Conf. Semis,P. Jackson (57-25),P. Gasol (14.7)
2009-10,NBA,Los Angeles Lakers*,57,25,0.695,1,4.78,92.8,0.1,108.8,1.2,103.7,-3.9,Won Finals,P. Jackson (57-25),P. Gasol (11.0)
2008-09,NBA,Los Angeles Lakers*,65,17,0.793,1,7.11,94.3,2.6,112.8,4.5,104.7,-3.6,Won Finals,P. Jackson (65-17),P. Gasol (13.9)
2017-18,NBA,Memphis Grizzlies,22,60,0.268,5,-5.81,94.9,-2.4,104.5,-4.1,111,2.4,,"D. Fizdale (7-12), J. Bickerstaff (15-48)",T. Evans (4.2)
2016-17,NBA,Memphis Grizzlies*,43,39,0.524,3,0.96,92.3,-4.1,107.7,-1.1,107.1,-1.7,Lost W. Conf. 1st Rnd.,D. Fizdale (43-39),M. Conley (10.0)
2015-16,NBA,Memphis Grizzlies*,42,40,0.512,3,-2.14,93.3,-2.5,105.4,-1,107.8,1.4,Lost W. Conf. 1st Rnd.,D. Joerger (42-40),M. Conley (5.3)
2014-15,NBA,Memphis Grizzlies*,55,27,0.671,2,3.62,92,-1.9,105.7,0.1,102.2,-3.4,Lost W. Conf. Semis,D. Joerger (55-27),M. Gasol (10.2)
2013-14,NBA,Memphis Grizzlies*,50,32,0.61,3,2.18,89.9,-4,106.3,-0.4,104.6,-2.1,Lost W. Conf. 1st Rnd.,D. Joerger (50-32),M. Conley (8.2)
2012-13,NBA,Memphis Grizzlies*,56,26,0.683,2,4.32,88.4,-3.6,104.9,-1,100.3,-5.6,Lost W. Conf. Finals,L. Hollins (56-26),M. Gasol (11.5)
2011-12,NBA,Memphis Grizzlies*,41,25,0.621,2,2.43,90.8,-0.5,104,-0.6,101.8,-2.8,Lost W. Conf. 1st Rnd.,L. Hollins (41-25),M. Gasol (8.2)
2010-11,NBA,Memphis Grizzlies*,46,36,0.561,4,2.55,91.9,-0.2,107.6,0.3,105.1,-2.2,Lost W. Conf. Semis,L. Hollins (46-36),Z. Randolph (10.5)
2009-10,NBA,Memphis Grizzlies,40,42,0.488,4,-1.39,93.6,0.9,108.3,0.7,109.9,2.3,,L. Hollins (40-42),Z. Randolph (9.7)
2008-09,NBA,Memphis Grizzlies,24,58,0.293,5,-5.23,90.1,-1.6,103.5,-4.8,109.5,1.2,,"M. Iavaroni (11-30), J. Davis (0-2), L. Hollins (13-26)",M. Gas
2017-18,NBA,Miami Heat*,44,38,0.537,1,0.15,95.6,-1.7,106.8,-1.8,106.3,-2.3,Lost E. Conf. 1st Rnd.,E. Spoelstra (44-38),K. Olynyk (5.5)
2016-17,NBA,Miami Heat,41,41,0.5,3,0.77,95.2,-1.2,107.8,-1,106.7,-2.1,,E. Spoelstra (41-41),H. Whiteside (9.5)
2015-16,NBA,Miami Heat*,48,34,0.585,1,1.5,93.6,-2.2,106.1,-0.3,104.4,-2,Lost E. Conf. Semis,E. Spoelstra (48-34),H. Whiteside (10.3)
2014-15,NBA,Miami Heat,37,45,0.451,3,-2.92,90.9,-3,103.9,-1.7,106.7,1.1,,E. Spoelstra (37-45),L. Deng (5.4)
2013-14,NBA,Miami Heat*,54,28,0.659,1,4.15,91.2,-2.7,110.9,4.2,105.8,-0.9,Lost Finals,E. Spoelstra (54-28),L. James (15.9)
2012-13,NBA,Miami Heat*,66,16,0.805,1,7.03,90.7,-1.3,112.3,6.4,103.7,-2.2,Won Finals,E. Spoelstra (66-16),L. James (19.3)
2011-12,NBA,Miami Heat*,46,20,0.697,1,5.72,91.2,-0.1,106.6,2,100.2,-4.4,Won Finals,E. Spoelstra (46-20),L. James (14.5)
2010-11,NBA,Miami Heat*,58,24,0.707,1,6.76,90.9,-1.2,111.7,4.4,103.5,-3.8,Lost Finals,E. Spoelstra (58-24),L. James (15.6)
2009-10,NBA,Miami Heat*,47,35,0.573,3,1.99,89.6,-3.1,106.6,-1,104.1,-3.5,Lost E. Conf. 1st Rnd.,E. Spoelstra (47-35),D. Wade (13.0)
2008-09,NBA,Miami Heat*,43,39,0.524,3,0.49,89.9,-1.8,107.8,-0.5,107.6,-0.7,Lost E. Conf. 1st Rnd.,E. Spoelstra (43-39),D. Wade (14
2017-18,NBA,Milwaukee Bucks*,44,38,0.537,3,-0.45,96.3,-1,109.8,1.2,110.1,1.5,Y,"J. Kidd (23-22), J. Prunty (21-16)",G. Antetokounmpo (11.9)
